Date,Open,High,Low,Close,Volume
2025-06-23,302.075,314.25,294.5601,307.59,17553690
2025-06-24,314.39,348.97,311.9,344.82,29670920
2025-06-25,360.595,369.28,343.62,355.37,30154320
2025-06-26,354.53,382,354.53,375.07,27371410
2025-06-27,369.54,372.5,346.66,353.43,29000430
2025-06-30,359.225,360.45,347.9,350.49,11227560
2025-07-01,339.98,353.3956,334,335.33,13132140
2025-07-02,340.58,357.1599,338.68,354.45,12493120
2025-07-03,350.345,357.8699,348.5,355.8,6704285
2025-07-07,354.2,363.9999,351,357.1,7885346
2025-07-08,362.75,368.79,348,354.82,9734990
2025-07-09,358.63,374,353.2901,373.85,13238440
2025-07-10,372.405,389.16,369,388.96,17241600
2025-07-11,390.185,395.5,378.37,387.06,16694620
2025-07-14,392.495,398.5,388.58,394.01,12473530
2025-07-15,391.525,400.8799,373.0201,388.02,16889290
2025-07-16,392.8,405.88,391.46,398.2,14404660
2025-07-17,399.7,415.9599,394.277,410.75,16840540
2025-07-18,419.82,444.645,406.5,419.78,28063200
2025-07-21,425.55,436.3799,413.44,413.63,17018150
2025-07-22,419.1,420.9799,394.37,404.44,14554940
2025-07-23,399.99,400.72,387.12,397.81,12433160
2025-07-24,404.25,405.3077,392,396.7,7904563
2025-07-25,391.9,397.48,386.385,391.66,8643321
2025-07-28,394.615,395.39,375.26,379.49,11270400
2025-07-29,383.585,384.7799,365.74,371.44,9334666
2025-07-30,382.95,386.58,372.71,377.48,11099970
2025-07-31,382.89,387.14,376.83,377.76,12371230
2025-08-01,335.14,337.5825,310.55,314.69,31342210
2025-08-04,319.54,324,311,318.17,12106370
2025-08-05,307.11,312.85,297.2,297.99,16863870
2025-08-06,297.55,304.77,293.3101,303.58,15982740
2025-08-07,311.23,317.94,306.98,310.79,13857160
2025-08-08,311.44,313.7,301.23,310.54,9253803
2025-08-11,322.1,333.66,318.8,319.62,14664370
2025-08-12,329.35,329.86,314.159,322.62,9985842
2025-08-13,328.21,345.3899,321.5301,327.01,15399790
2025-08-14,320.49,327.451,316.8,324.89,9403598
2025-08-15,322.85,323.4,314.56,317.55,7881210
2025-08-18,311.48,324.29,307.11,320.73,8798755
2025-08-19,320.69,322.59,301.45,302.07,10327730
2025-08-20,304.27,306.45,291.46,304.39,8570325
2025-08-21,301.415,304.9999,297.8001,300.28,5743375
2025-08-22,300.59,322.26,297.19,319.85,13029180
2025-08-25,312.175,315.59,305.1,306,8473899
2025-08-26,304,309.2,300.37,308.48,7745448
2025-08-27,307.21,312.41,306.69,308.97,5746292
2025-08-28,312.56,315.95,306,308.47,6292468
2025-08-29,306.19,308.22,301.5,304.54,6611440
2025-09-02,299.97,310.41,295.4,303.56,6814856
2025-09-03,305.01,308.371,301.15,302.31,5220799
2025-09-04,301.96,307.7705,300.01,306.8,6211763
2025-09-05,313.85,315.74,292.56,299.07,11366970
2025-09-08,301.88,306.6,297.1501,302.2,8824124
2025-09-09,303.77,319.3905,303.6,318.78,10361310
2025-09-10,321.4,328.6691,312.53,315.34,8664815
2025-09-11,319,326,315.53,323.95,7702730
2025-09-12,328.025,329.49,319.8,323.04,6929358
2025-09-15,322.87,328.44,320.965,327.02,6896855
2025-09-16,332.25,333.6,321.3,327.91,7434920
2025-09-17,325.96,328.49,311.3,320.56,8921227
2025-09-18,325.82,351.89,323.52,343.13,17324500
2025-09-19,342.76,349.7,337.66,342.46,13272060
2025-09-22,333.435,336.2,328.19,331.95,8720685
2025-09-23,333.38,335.6768,317.7,320.07,8245911
2025-09-24,323.76,327.3177,320.76,321.77,4869807
2025-09-25,314.33,317.99,304.36,306.69,8865274
2025-09-26,308.58,314.2374,303.4,312.59,6714775
2025-09-29,318.01,334.3799,316.3498,333.99,12066050
2025-09-30,329.995,338.1,329.662,337.49,6674692
2025-10-01,343.26,349.865,340.5,346.17,8843877
2025-10-02,354.76,376.1299,353.4,372.07,15750410
2025-10-03,373.35,383.4999,370.03,380.02,13648180
2025-10-06,390.325,392.85,380.5015,386.07,8692960
2025-10-07,386.84,388,363.01,375.78,9146307
2025-10-08,378.62,390.49,375.635,387.27,7122777
2025-10-09,384.26,392.155,381.8,387,6849024
2025-10-10,387.66,402.16,351.63,357.01,17223610
2025-10-13,363.2,364.895,341.84,356.99,10318440
2025-10-14,340.85,353.5,334.77,341.55,9446049
2025-10-15,345.81,347.8285,333.1,336.3,7947302
2025-10-16,338.485,342.6999,328.71,330.25,7611886
2025-10-17,319.41,336.3,317.77,336.02,9571073
2025-10-20,342.21,354.06,338.75,343.78,7544064
2025-10-21,342.28,344.79,335.5,338.62,6030873
2025-10-22,333.88,334.72,310.4801,320.33,12737830
2025-10-23,323,328.39,318.5,322.76,5866792
2025-10-24,334.995,356.88,333,354.46,13893110
2025-10-27,362.82,373.25,357.3,361.43,9688335
2025-10-28,363.23,368.125,354.07,355.22,6527799
2025-10-29,357.425,360,345.21,348.61,7560500
2025-10-30,343.47,344.215,328.21,328.51,8947687
2025-10-31,336,361.4,334.43,343.78,13757300
2025-11-03,340.87,342.8,325.8801,330.42,9341726
2025-11-04,319,325.45,306.85,307.32,12420250
2025-11-05,315.885,324.14,310.8401,319.3,8215486
2025-11-06,316.5,316.6,294.72,295.22,12191180
2025-11-07,290.2,310.93,283.65,309.14,11984210
2025-11-10,323.02,324.8,311.66,317.93,8949778
2025-11-11,312.2,317.0899,303.59,304.01,7095194
2025-11-12,309.23,311.5,301.46,304,6967628
2025-11-13,301.66,303.96,279.83,283.14,11109540
2025-11-14,269.52,292.76,268.16,284,11784790
2025-11-17,274.92,277.83,258.22,263.95,15822420
2025-11-18,261.75,271,261,261.79,10854480
2025-11-19,261.865,262.8199,247.02,257.29,13287280
2025-11-20,259.98,263.63,236,238.16,15524200
2025-11-21,243.915,246.13,231.17,240.41,12396470
2025-11-24,244.68,257.95,243.0101,255.97,10005790
2025-11-25,247.755,254.37,240.74,254.12,8525315
2025-11-26,256.2,266.6225,253.8432,264.97,9929309
2025-11-28,274.005,279.87,269.2901,272.82,8977766
2025-12-01,260.525,265.9,252.2,259.84,12119330
2025-12-02,267.68,272.55,263.21,263.26,9059342
2025-12-03,268,277.5923,264.13,276.92,9466658
2025-12-04,273.6,284.24,271.26,274.05,6469235
2025-12-05,270.425,274.05,265.01,269.73,7173470
2025-12-08,272.805,276.63,269.5201,274.2,5936960
2025-12-09,270.63,284.74,266.83,277.36,7876570
2025-12-10,273.2,279.443,270.76,275.09,6818620
2025-12-11,266.9,271.16,258.72,269.02,7969600
2025-12-12,271.66,278.2,263.16,267.46,8180316
2025-12-15,267.99,268.5827,246.8,250.42,10885690
2025-12-16,253.56,257,250.32,252.61,6907433
2025-12-17,254.78,259.55,243.7,244.19,8429505
2025-12-18,253.095,255.41,239.1,239.2,9291486
2025-12-19,244.575,247,240.85,245.12,10613050
2025-12-22,251.68,254.87,247.43,247.9,6233075
2025-12-23,243.25,245.1999,238.8,242.3,7004229
2025-12-24,240.28,241,237.14,239.73,3869012
2025-12-26,240.4,240.49,232.8057,236.9,5925726
2025-12-29,234.36,239.89,232.78,233.77,6362579
2025-12-30,233.65,236.06,231.5,231.6,5652053
2025-12-31,231.22,232.39,225.47,226.14,6678151
2026-01-02,230.595,238.49,225.91,236.53,8760200
2026-01-05,247.105,258.88,246.53,254.92,13695270
2026-01-06,255.21,258.35,245.72,250.56,8672516
2026-01-07,248.28,248.9399,240.25,245.93,7488912
2026-01-08,244.615,250.38,242.25,245.59,6897249
2026-01-09,246.07,246.9,237.15,240.78,8104541
2026-01-12,239.63,248,238.04,242.98,5957250
2026-01-13,245.5,255.51,244.65,252.69,9026984
2026-01-14,256.92,263.07,253,255.86,10804500
2026-01-15,250.59,251.2,237.4301,239.28,12098910
2026-01-16,239.485,243.19,236.14,241.15,7622434
2026-01-20,232.64,234.9,225.96,227.73,9757893
2026-01-21,228.76,231.45,222.4,226.93,8476486
2026-01-22,228.525,230.75,223.02,223.14,7088821
2026-01-23,222.745,222.745,215.72,216.95,12975060
2026-01-26,212.175,215.64,210.89,213.48,7077472
2026-01-27,213.48,213.555,207.77,210.83,7465529
2026-01-28,213.28,214.39,206.8,209.43,9046574
2026-01-29,206.815,207,194.21,199.18,14604280
2026-01-30,198.7,198.96,190.96,194.74,9635409
2026-02-02,189.805,190.9399,185.08,187.86,12288660
2026-02-03,188.68,188.68,174.05,179.66,12610290
2026-02-04,176.11,176.75,164.42,168.62,16627610
2026-02-05,160.43,165,145.16,146.12,29610520
2026-02-06,154.555,165.52,151.57,165.12,19776130
2026-02-09,160.095,167.57,159.01,167.25,10618460
2026-02-10,162.56,167.92,161.86,162.51,8835243
2026-02-11,157.7,158.1,148.85,153.2,13923800
2026-02-12,153.095,153.2,139.36,141.09,19986070
2026-02-13,153.7,167.65,146.16,164.32,32410120
2026-02-17,162.475,170.54,158.4,166.02,16770650
2026-02-18,165.395,173.88,163.15,164.05,13792220
2026-02-19,162.42,167.58,161.12,165.94,8001662
2026-02-20,164.88,175.545,164.12,171.35,13692190
2026-02-23,166.16,168.1,158.66,160.24,12685500
2026-02-24,155.835,162.28,152.7,162.03,10442920
2026-02-25,171.78,185.82,169.75,183.94,23793920
2026-02-26,181.44,186.39,176.7501,181.06,12746620
2026-02-27,175.35,179.0565,171.81,175.85,11427870
2026-03-02,172.495,186.35,172.22,185.24,12306820
2026-03-03,177.18,186.3031,172.05,182.36,12828760
2026-03-04,195.91,212.07,195.4,208.93,27200270
2026-03-05,205.75,213.5,201.5,205.71,15036590
2026-03-06,197.76,202.7437,194.66,197.22,11504890
2026-03-09,198,203.49,192.6293,199.79,12064580
2026-03-10,204.425,206.01,194.75,196.52,10846080
2026-03-11,197.51,203.1,192.52,198.63,9531734
2026-03-12,196.13,198,192.46,193.23,7967132
2026-03-13,203.76,207.13,193.84,195.53,12137120
2026-03-16,201.81,206.44,198.6201,203.32,13054010
2026-03-17,202.27,213.47,202.13,210.23,11947950
2026-03-18,206.77,209,201.14,202.29,12602200
2026-03-19,195.335,205.5,191.8655,202.91,9272978
2026-03-20,202.5,203.3,194.79,197.5,13305140
2026-03-23,198.6,203.95,196.11,200.62,12466490
2026-03-24,199.1,201.76,177.595,181.04,20892680
2026-03-25,184.579,190.71,180.06,181.1,10432480
2026-03-26,177,179.75,171.93,173.38,9402566
2026-03-27,168.05,168.74,159.83,161.14,12289890
2026-03-30,164.53,166.4999,158.46,160.79,11775160
2026-03-31,163.8,175.84,162.18,174.61,12665140
2026-04-01,179,179.3,171.7213,172.99,8828648
2026-04-02,167.63,173.03,163.56,171.46,8869330
2026-04-06,175.1,177.9,173.47,174.79,7125194
2026-04-07,172.12,175.26,166.05,175.18,7653121
2026-04-08,187.89,189.565,172.96,175.09,9802388
2026-04-09,175.83,177.14,166.4029,169.02,10754900
2026-04-10,169.355,170.48,163.13,167.85,7922422
2026-04-13,164.83,175.01,164.33,174.53,7481089
2026-04-14,180.03,187.14,180,184.41,10884800
2026-04-15,185.66,196.46,183.52,195.9,11817370
2026-04-16,197.5,200.5799,188.5,199.825,11235810
2026-04-17,205.2,216.0499,202.95,206.33,15670380
2026-04-20,201.035,212.3,200.02,211.63,9967459
2026-04-21,211.2,211.23,194.6,195.95,15121140
2026-04-22,204.18,211.97,202.34,206.24,12096790
2026-04-23,202.275,205.78,193.91,197.93,8778450
2026-04-24,202.08,202.54,196.53,199.77,5799055
2026-04-27,199.1,204.49,195.25,196.68,7855554
2026-04-28,190.2,195.9395,188.75,194.1,6316127
2026-04-29,187.27,187.27,177.62,181.73,12609600
2026-04-30,181.6,189.559,179.89,187.77,7786743
2026-05-01,191.88,194.51,189.86,191.25,6771092
2026-05-04,199.405,206.71,197.8529,202.99,11243430
2026-05-05,208.88,208.88,194.4,197.75,10074160
2026-05-06,195.775,198.5,193.25,197.96,7764913
2026-05-07,196.03,198.15,190.32,192.96,9158065
2026-05-08,186.045,201.37,182.8,201.16,12909390
2026-05-11,200.38,217.845,192.81,216.6,13659330
2026-05-12,211.9,218.4599,200.2,207.64,9514449
2026-05-13,204.2,204.2,197.5,201.8,8370159
2026-05-14,201.25,222.352,195.1,212.01,16576860
2026-05-15,205.64,206,192.3,195.43,14428630
2026-05-18,190.25,194.2,184.15,189.44,10399790
2026-05-19,188.375,195.53,185.5301,193.45,7085046
2026-05-20,193.75,196.6205,189.73,191.29,7044169
2026-05-21,189.805,195.7,187.67,193.56,5674274
2026-05-22,194.02,195.59,184.6,184.99,7927566
2026-05-26,186.07,187.8,179.11,180.01,7754981
2026-05-27,176.38,179.85,173.71,173.78,8196796
2026-05-28,170.486,182.65,169.17,182.25,9042941
2026-05-29,180.23,191.83,178.85,189.03,10249780
2026-06-01,179.21,186.6,176.18,182.61,9063109
2026-06-02,177.17,178.55,171.67,173.99,9228403
2026-06-03,171.54,172,162.75,163.22,9544614
2026-06-04,164.19,166.5,161.89,164.13,8499447
2026-06-05,158.7,158.7,147.88,152.4,16718540
2026-06-08,156.605,164.28,154.9825,162.11,8827826
2026-06-09,157.245,164.98,149.9,155.5,8896152
2026-06-10,152.825,161.71,152.19,153.97,6406617
2026-06-11,154.7,161.74,152.38,160.43,6933145
2026-06-12,160.43,165.49,155.42,159.78,6508340
2026-06-15,170,174.44,168.63,169.62,8971973
2026-06-16,169.3,173.8,166.88,169.27,6412812
2026-06-17,166.54,174.1,164.67,164.915,8151519
2026-06-18,167.75,169.8079,160.54,163.26,9826780
2026-06-22,164.945,176.48,163.0501,164.84,8507056
2026-06-23,156.98,164.16,156.31,158.18,7590039
2026-06-24,158.3,158.42,148.28,150.11,10045490
2026-06-25,151.17,152.19,141.48,142.52,7807384
2026-06-26,139.23,149.8499,139.18,149.06,10494700
2026-06-29,150.82,152.44,145.29,151.65,7141106
2026-06-30,148.18,148.86,142.3,146.19,8754496
2026-07-01,147.13,164.54,146.3,159.24,11992320
2026-07-02,165.185,173.09,163.22,165.48,9693796
2026-07-06,161.365,171.67,160.1,168.87,6492774
2026-07-07,166.815,170.0951,161.69,163.51,4869416
2026-07-08,159.285,161.6,156.2,159.36,4738659
2026-07-09,156.73,161.0599,154.78,158.44,4755701
2026-07-10,166.67,167.98,158.67,159.07,6133940
2026-07-13,156.2,161.19,154.01,157.37,5418067
2026-07-14,159.79,162.265,157.25,161.5,7407823
2026-07-15,165.165,168.5,160.33,167.21,7570704
2026-07-16,165.37,166.57,159.51,160.49,6328713
2026-07-17,153.36,160.8014,152.58,157.12,6487131
2026-07-20,158.19,164.695,155.15,160.43,5720247
2026-07-21,167.885,181.49,167.86,175.85,13677230
2026-07-22,172.25,174.958,166,166.12,6953799
2026-07-23,163.115,165.74,158.88,161.16,5607032
2026-07-24,161.075,161.08,153.8,158.29,5372057
2026-07-27,163.32,167.87,160.42,167.49,6851657
2026-07-28,162.48,168.17,158.58,167.9,5111963
2026-07-29,166.15,169.6881,158.68,160.09,6802369
2026-07-30,161.18,164.78,159.31,163.58,7881311
2026-07-31,153.1,153.68,139.11,146.26,20870340
2026-08-03,144.145,152.43,141.03,146.5,9148538
2026-08-04,147.4,152.9,145.6,150.73,7289044
2026-08-05,150.8,153.99,147.61,149.89,6818876
2026-08-06,146.755,150.605,145.14,145.41,5850792
2026-08-07,148.21,155.3999,145.57,153.6,8747683
2026-08-10,153.345,153.61,147.9,148.68,6089895
2026-08-11,149.84,152.9499,146.32,148.58,6472589
2026-08-12,150.1,151.51,147.5,149.04,5927349
2026-08-13,149.035,154.42,146.94,153.9,7458864
2026-08-14,151.42,152.59,147.86,148.47,7265344
2026-08-17,148.355,152.2,147.2,150.55,5768314
2026-08-18,148,150.73,146.02,146.23,6746728
2026-08-19,147.5,165.74,147.5,160.2,16961340
2026-08-20,172.745,174.78,166.11,172.35,17570760
2026-08-21,180.06,191.355,179.2,186.49,22736000
2026-08-24,188.75,191.8387,178.52,179.48,13193690
2026-08-25,176,189.27,174.73,187.16,10565290
2026-08-26,181.65,185.5,179.4317,181.78,6275822
2026-08-27,186.33,193.81,180.11,190.72,9240928
2026-08-28,186.025,189.1,176.06,178.64,10016490
2026-08-31,178.51,189.9474,176.71,188.12,10710610
2026-09-01,181.445,183.99,175,176.82,8429160
2026-09-02,174.3,178.7221,172.03,174.96,5264054
2026-09-03,181.435,195.85,181,192.7,13741520
