Date,Open,High,Low,Close,Volume
2025-04-17,21.96,22.1894,21.03,21.98,4594402
2025-04-21,21.5,21.6499,19.89,20.39,7025769
2025-04-22,20.72,21.9798,20.62,21.53,9677814
2025-04-23,22.18,24.24,22.11,23.37,16020520
2025-04-24,23.7,25.27,23.69,24.32,10634860
2025-04-25,23.69,24.31,23.18,23.74,6558914
2025-04-28,24.06,25.25,23.02,24.49,6979534
2025-04-29,24.555,24.84,23.55,24.44,5164234
2025-04-30,23.53,23.81,22.52,23.74,6660117
2025-05-01,24.75,26.93,24.44,26.31,13354030
2025-05-02,27,27.4,26.1,26.24,11570520
2025-05-05,25.63,25.83,24.8601,25.47,5554045
2025-05-06,24.79,28.965,24.53,28.66,18741450
2025-05-07,27.69,27.71,25.7,27.12,16737990
2025-05-08,28.2,28.41,26.44,26.95,10946640
2025-05-09,27.29,28.73,26.16,28.09,16100120
2025-05-12,29.73,30.245,28.16,28.85,15034200
2025-05-13,29.2,32.63,29.17,32.03,23396850
2025-05-14,34.55,39.37,34.1,37.01,39267340
2025-05-15,35.96,38.05,34.4501,37.41,17537890
2025-05-16,38.53,39.9,36.15,37.72,18870150
2025-05-19,35.53,39.83,34.88,39.73,19004430
2025-05-20,41.33,41.33,36.85,37.57,16339820
2025-05-21,37,39.39,35.685,36.81,15484920
2025-05-22,36.81,40.43,35.85,39.72,19220420
2025-05-23,44.66,52.17,43.63,48.87,92503110
2025-05-27,49.52,54.48,46.12,53.9,45495530
2025-05-28,53.49,57.57,53.35,55.24,34571970
2025-05-29,55.725,56,51.73,52.93,21202500
2025-05-30,49.41,54.3599,49.41,52.72,23477970
2025-06-02,50.715,53.58,50.24,52.44,15037070
2025-06-03,56,58.69,49.33,49.77,31354870
2025-06-04,49.425,51.18,45.05,49.09,19198970
2025-06-05,48.28,49.85,46.01,47.16,13324770
2025-06-06,47.1,50.55,46.4,50.29,13254600
2025-06-09,51.7,54.74,48.76,54.26,15735210
2025-06-10,54.28,56.5,50.79,52.54,14780160
2025-06-11,53.56,68.9102,53.36,68.03,55913500
2025-06-12,63.61,71,62.88,64.48,38026510
2025-06-13,61.95,65.6,60.6,63.66,31769000
2025-06-16,67,73.55,64.8007,65.45,29283430
2025-06-17,68.26,69.4,61.79,62.77,24789620
2025-06-18,63.265,63.96,59.62,62.02,14650030
2025-06-20,63,63.95,57.53,57.95,15026110
2025-06-23,57.39,58.7,52.12,55.11,19045030
2025-06-24,57.83,61.45,57.205,60.71,18003710
2025-06-25,63.1,64.78,55.3494,55.57,17089040
2025-06-26,57.25,57.75,55.41,55.85,9984580
2025-06-27,59.55,62.1,54.05,55.26,45939910
2025-06-30,56.35,57.3031,53.8,55.99,13456700
2025-07-01,54.9,55.2499,51.53,51.74,13224940
2025-07-02,51.58,52.19,50.08,51.33,10017990
2025-07-03,52.75,54.3,51.24,53.72,8869152
2025-07-07,53.865,56.33,51.8801,55.94,11928590
2025-07-08,57.315,57.59,53.25,53.52,15042310
2025-07-09,53.99,55.4,51.5204,53.93,10649910
2025-07-10,53.65,56.42,52.88,55.45,11426310
2025-07-11,54.33,57.65,53.91,56.08,15123430
2025-07-14,55.6,62.66,54.5174,62.41,25911750
2025-07-15,62.88,63.07,59.24,60.95,21973700
2025-07-16,60.625,64.75,60.12,64.37,21524260
2025-07-17,65.81,67.93,64.59,67.17,20810380
2025-07-18,67.18,69.14,65.0201,68.98,15254980
2025-07-21,69.57,70.98,62.43,62.51,19275350
2025-07-22,63,63.98,58.88,61.32,15071050
2025-07-23,63.55,70.06,63.53,66.97,33806900
2025-07-24,66.61,77.17,65.81,74.59,40388000
2025-07-25,71.71,75.9,71.22,75.5,18541260
2025-07-28,77.5,77.545,72.28,75.5,17264410
2025-07-29,75.1,78.1275,70.61,71.01,15896410
2025-07-30,71.47,78.34,71.43,75.63,22211130
2025-07-31,76.86,80.42,75.5,76.59,23970920
2025-08-01,72.89,74.5,67.8,71.49,19769720
2025-08-04,73.46,78.35,71.6,76.41,16256920
2025-08-05,77,85.2,76.7,84.09,23516810
2025-08-06,83.225,85.35,81.2001,83.1,13409120
2025-08-07,83.685,83.95,76.6,79.32,14533160
2025-08-08,79.73,80.8,74.29,75.32,13742590
2025-08-11,74.29,75.26,71.31,71.86,16515510
2025-08-12,70.1,79.01,69.6522,78.47,26204490
2025-08-13,81.05,83.6,75.6015,77.42,18898350
2025-08-14,77.19,78.54,71.85,73.66,12116080
2025-08-15,74.26,74.5328,68.7715,71.06,10587430
2025-08-18,70.5,71.4,68.02,68.99,7574315
2025-08-19,69.41,70.04,65.024,65.41,11117570
2025-08-20,64.35,67.19,61.01,66.57,13132060
2025-08-21,67.65,69.44,66.11,67.19,12454930
2025-08-22,67.235,72.43,64.7312,70.38,14143740
2025-08-25,71.345,71.9465,67.846,71.19,8683599
2025-08-26,73.85,78.7,72.71,74.31,24362550
2025-08-27,74.545,76.06,72.86,73.2,12243850
2025-08-28,74.34,79.79,74.08,77.89,17316210
2025-08-29,77.67,78.5,72.78,73.64,13628850
2025-09-02,70.155,73.59,68.77,73.59,11651600
2025-09-03,74.64,76.6,71.6524,72.23,10238430
2025-09-04,72,73.3282,68.92,69.61,9266087
2025-09-05,71.22,71.88,66.2,69.79,12104450
2025-09-08,70.5,71.929,69.6101,70.72,7781805
2025-09-09,70.44,74.48,69.55,73.97,12162850
2025-09-10,75.44,76.7,73.3,73.75,10834260
2025-09-11,74.18,80.88,73.13,79.97,19906190
2025-09-12,78.9,83,78.67,82.71,12597040
2025-09-15,84.25,95.91,83.3,95.68,28016880
2025-09-16,94.805,95.9,90.39,95.83,20223070
2025-09-17,95.28,96.7724,90.11,95.29,13875870
2025-09-18,98.535,110.8237,96.23,104.97,27987220
2025-09-19,108.7,136.53,107.1589,135.23,63584000
2025-09-22,130.845,142.85,123.72,140.3,37181220
2025-09-23,137.315,143.75,132.35,142.65,30248650
2025-09-24,142.94,144.49,130.38,131.17,25248540
2025-09-25,110.96,122.48,110.1401,119.13,45707590
2025-09-26,117.63,119.96,108.54,110.53,24837100
2025-09-29,118.25,121.53,114.11,116.51,25099950
2025-09-30,115.46,116.87,109.625,111.63,25175440
2025-10-01,112.6,116.675,109.2,115.93,18369900
2025-10-02,118.85,129.6399,116.16,128.8,28325950
2025-10-03,127.91,130.94,122.77,127.36,17441430
2025-10-06,131.395,147.18,131.2,138.56,25636370
2025-10-07,142.2,142.2,130.4,134.12,18415870
2025-10-08,135.85,138.35,130.58,134.77,15870940
2025-10-09,139.85,141.5545,131.19,138.13,17273230
2025-10-10,137.69,161.41,136.8,147.16,39386570
2025-10-13,158,175.9,156.54,171.01,28693820
2025-10-14,168.05,183.2,160.18,174.14,26214830
2025-10-15,185.96,193.84,164,171.56,33932350
2025-10-16,174.85,176.35,157.2,162.14,23266850
2025-10-17,157.8,171.65,155.68,163.39,20652780
2025-10-20,167.19,170,154.12,159.05,16751800
2025-10-21,153.15,154.45,136.7001,139.44,22688910
2025-10-22,132.81,136.1818,114,120.12,34401170
2025-10-23,119.99,129.1799,116.4,124.7,18207730
2025-10-24,133.53,138.66,130.98,136.05,18105000
2025-10-27,144.8,145,129.67,137.43,16454000
2025-10-28,138.1,144.4,131.2,132.28,14479570
2025-10-29,134.53,152.06,131.91,143.42,18754520
2025-10-30,137.18,145.3,133.71,137.39,12172000
2025-10-31,140.58,141.7,130.11,132.77,11430660
2025-11-03,132.11,132.11,121.601,126.67,10537400
2025-11-04,119.25,122.3667,111.79,112.23,12094970
2025-11-05,116.37,123.44,114.3206,121.23,12483330
2025-11-06,120.12,120.95,105.99,106.75,15789580
2025-11-07,100,112.7,97.06,112.65,16397460
2025-11-10,116.99,117.44,107.5,111.52,12942670
2025-11-11,108.19,111,103.64,104.22,11727570
2025-11-12,108.6,116.98,106.96,111.17,19309480
2025-11-13,109.45,110.38,100.3,101.64,12663830
2025-11-14,94.835,106.83,93.49,97.57,15534240
2025-11-17,96.61,101.5,92.63,95.36,10696970
2025-11-18,93.69,100.5451,93.15,96.63,11402430
2025-11-19,99.65,105.88,98.05,102.86,15765210
2025-11-20,106.11,109.7,87.75,88,20149230
2025-11-21,89.45,89.9254,79.01,88.17,21721940
2025-11-24,89.16,93.2,86.57,89.55,24669570
2025-11-25,89.465,89.47,81.11,85.77,12502880
2025-11-26,88.05,89.88,85.77,88.72,8016281
2025-11-28,90,94.51,89.01,91.38,5692883
2025-12-01,88.54,90.6,85.5,87.36,6719904
2025-12-02,88.98,96.5,88.6,91.84,10924070
2025-12-03,90.99,97,89.01,96.59,7980992
2025-12-04,96.98,114.29,94.605,111.65,21446870
2025-12-05,105.985,107.59,100.51,104.67,14573820
2025-12-08,108.14,109.17,100.6,104.61,9420731
2025-12-09,103.61,107.55,101.92,103.93,6791972
2025-12-10,102.9,104.57,98.3172,100.6,9298347
2025-12-11,98.49,103.42,94.41,103,8523475
2025-12-12,102.705,103.14,87.3391,87.42,15776200
2025-12-15,89.35,89.6,82,82.33,9772428
2025-12-16,80.75,84.24,78.67,83.51,7743388
2025-12-17,84.29,85.58,75,75.94,10675570
2025-12-18,80.505,81,76.0697,77.72,9410224
2025-12-19,78.7,85.26,78.53,83.23,11396330
2025-12-22,85.78,85.83,80.14,83.44,11057590
2025-12-23,81.805,84.95,80.79,81.88,6598108
2025-12-24,80.49,81.31,78.6401,81.31,5203726
2025-12-26,80.025,80.35,76.1601,76.92,7122962
2025-12-29,74.8,78.48,73.76,74.09,8529172
2025-12-30,74.31,74.65,71.6,71.62,8195845
2025-12-31,71.42,72.32,70.86,71.76,6946607
2026-01-02,73.99,77.92,72.13,77.8,10135520
2026-01-05,81.65,90.85,80.4,89.34,19824420
2026-01-06,93,96.95,88.73,95.6,20105840
2026-01-07,93.6,100.69,92.81,97.6,13362340
2026-01-08,96.71,100.1899,93.42,97.6,9803723
2026-01-09,114.35,115.72,104.03,105.31,33942750
2026-01-12,103.33,105.9,100.37,102.5,12074890
2026-01-13,105.75,107.6,96.6,97.09,11145230
2026-01-14,94.77,97.08,91.5,95.97,11511180
2026-01-15,97.8,99.2899,91.38,91.45,11272210
2026-01-16,92.1,96.7,89.3039,94.95,15411290
2026-01-20,90.835,97,88.93,89.93,12557750
2026-01-21,96.39,100.2,86.02,90.78,24269700
2026-01-22,92.46,93.6,89.88,90.93,10120770
2026-01-23,91.39,91.39,86.17,87.63,9368050
2026-01-26,86.18,86.81,81.13,82.31,8698057
2026-01-27,82.81,86.85,81.21,85.27,10548990
2026-01-28,86.73,95.1,85.6,94.39,16371950
2026-01-29,93.95,93.95,83.5,86.04,14347340
2026-01-30,85.15,88.68,78.91,79.62,10751840
2026-02-02,78.25,78.38,73.29,73.62,11421900
2026-02-03,75.48,79.1799,74.0301,78,10640110
2026-02-04,77.2,77.26,64,68.23,19015110
2026-02-05,66.5,67.3799,61.675,62.14,11726120
2026-02-06,64.98,72.18,64.31,71.1,12709740
2026-02-09,69.31,75.5,68.64,75.05,8376071
2026-02-10,74.48,76.365,69.13,69.47,8060263
2026-02-11,71.44,71.5,64.89,66.23,8984475
2026-02-12,67.17,67.71,63.62,63.92,7938479
2026-02-13,64.42,68.1883,62.56,65.69,6085807
2026-02-17,64.6,69.585,62.84,67.64,6074399
2026-02-18,67.38,70.15,65.8,67.39,5217014
2026-02-19,66.225,68.36,64.34,67.64,5446632
2026-02-20,66.66,67.77,62.68,63.83,7083082
2026-02-23,61.6,63.34,60.89,63.09,6173606
2026-02-24,61.705,65.3,60.12,65.06,6697997
2026-02-25,66.41,67.67,64.76,66.32,6044277
2026-02-26,65.84,69.95,64.6,69.07,8025947
2026-02-27,65.72,66.08,62.07,62.95,8187084
2026-03-02,60.12,64.8988,60,64.68,7190571
2026-03-03,61.93,64.515,60.0401,63.3,5983547
2026-03-04,63.8,66.18,63.3,65.65,6168960
2026-03-05,64.4,64.6207,59.07,62.03,9806842
2026-03-06,60.31,62.8,58.185,58.25,8836851
2026-03-09,57.11,62.06,56.47,61.78,8297548
2026-03-10,61.91,63.45,61.26,61.38,6064594
2026-03-11,61.8,64.1,61.106,62.76,6280488
2026-03-12,61.74,63.2,59.51,59.59,7154187
2026-03-13,61.06,61.73,57.95,58.37,5841009
2026-03-16,59.84,60.36,57.827,59.69,6306437
2026-03-17,64.96,65.97,59.24,60.53,19128900
2026-03-18,60.19,61.75,56.68,56.7,11984810
2026-03-19,55.64,56.6861,53.5,54.69,9444902
2026-03-20,54.57,57.32,52.75,53.97,12577720
2026-03-23,54.6,57.21,54.02,56.26,9233206
2026-03-24,55.46,56.08,53.33,54.96,7418550
2026-03-25,56.46,57.65,54.43,55.27,6012039
2026-03-26,53.61,54.875,51.1,51.81,7246325
2026-03-27,51.52,52.6351,50.15,50.23,6419401
2026-03-30,50.94,51.97,44.88,45.58,10856100
2026-03-31,46.02,50,45.6001,49.59,9401210
2026-04-01,51.08,51.845,47.92,48.07,8033125
2026-04-02,45.95,49.05,45.36,48.13,5533365
2026-04-06,48.1,49.85,47.98,48.76,4911162
2026-04-07,47.4,47.94,44.91,46.59,6855147
2026-04-08,50.52,51.38,48,50.21,8582363
2026-04-09,49.53,50.36,47.395,47.75,5966079
2026-04-10,48.86,52.15,48.55,50.25,7166936
2026-04-13,49,53.96,48.1,53.94,8487341
2026-04-14,59.09,61.61,56.22,58.58,18440870
2026-04-15,62.53,66.62,61.11,63.35,21905540
2026-04-16,67.61,68.76,60.81,64.21,18340950
2026-04-17,66.06,74.21,64.95,66.81,24357200
2026-04-20,65.53,68.3,63.75,68.13,12882960
2026-04-21,68.41,69,62.22,62.61,15258400
2026-04-22,65.19,72.63,64.75,72.41,18164380
2026-04-23,77.73,80.64,73.66,76.46,31945460
2026-04-24,81.29,81.5,70.88,71,23265290
2026-04-27,71,76.2,70.3,75.93,18897070
2026-04-28,71.51,72.87,68.79,69.09,14842380
2026-04-29,70.54,70.6,63.2,64.98,16156520
2026-04-30,65.54,72.84,65.261,72.5,14651900
2026-05-01,71.68,71.68,68.47,70.4,10510640
2026-05-04,70.454,72.3,68.5,68.6,8854527
2026-05-05,69.01,69.24,66.08,68.38,8280364
2026-05-06,71.21,80.08,69.25,79.62,23036780
2026-05-07,78,79.5,70.87,71.83,14637250
2026-05-08,73.7,74,70,72.51,10013600
2026-05-11,71.41,79.65,69.22,78.13,17333300
2026-05-12,75.73,76.68,70.3001,73.63,15654930
2026-05-13,73.37,73.4,68.1001,69.66,14287260
2026-05-14,67.39,67.6999,64.66,67.21,14828080
2026-05-15,64.8,65,61.73,62.25,11851940
2026-05-18,62.45,63,56.8,58.56,14527880
2026-05-19,56.73,57.77,53.955,55.88,11768830
2026-05-20,57.56,62.9,56.64,62.58,13890220
2026-05-21,61.92,65.29,61.1,65.09,10385900
2026-05-22,66.82,69.7167,65.13,65.88,11410670
2026-05-26,71.87,73.29,68.08,68.7,18505650
2026-05-27,69.34,69.52,65.37,67.82,10469930
2026-05-28,66.48,70.978,65.62,68.09,12231100
2026-05-29,68.09,70.01,64.2842,66.88,27669420
2026-06-01,65.9,70.5999,64.57,66.89,18846350
2026-06-02,67.1,73.86,65.66,73.47,24065060
2026-06-03,70.72,70.85,64.05,65.21,22785220
2026-06-04,64.51,66.5697,63.33,65.39,11973860
2026-06-05,64.8,64.81,56.625,58.09,18896460
2026-06-08,60.1,60.3505,58,58.94,8918034
2026-06-09,59.01,59.88,53.0101,56.48,12403290
2026-06-10,55.43,57.88,53.83,54.02,8300423
2026-06-11,54.15,58.24,53.42,57.86,10687840
2026-06-12,58.05,58.58,55.88,57.49,8173141
2026-06-15,60.48,61.98,59.81,60.74,9642949
2026-06-16,59.94,61.95,57.325,57.45,8810862
2026-06-17,57.02,61.69,56.8329,58.82,10794570
2026-06-18,59.83,63,58.56,61.17,14443990
2026-06-22,59.17,59.8799,57.25,58.4,8305080
2026-06-23,55.88,61.3,55.39,57.19,9311751
2026-06-24,56.69,56.69,52.87,54.06,9428992
2026-06-25,55.56,55.7999,50.43,51.01,9721837
2026-06-26,50,51.35,49.564,50,22895970
2026-06-29,51.4,53.58,50.51,52.76,9071059
2026-06-30,53.085,53.23,50.76,52.33,7265483
2026-07-01,53.63,54.315,51.5101,52.45,9716938
2026-07-02,52.8,56.34,50.69,52.36,9675586
2026-07-06,51.4,53.08,50.25,51.84,8369724
2026-07-07,50.85,51.384,46.95,47.9,11251500
2026-07-08,47.535,48.61,45.83,47.28,7136721
2026-07-09,47.85,50.23,47.29,49.27,7277223
2026-07-10,49.435,50.65,47.63,48.85,6619400
2026-07-13,47.72,48.12,45.0708,45.81,10094470
2026-07-14,46.96,47.4172,45.44,46.24,6568276
2026-07-15,46.79,47.52,44.16,45.69,6894968
2026-07-16,44.3,44.3596,40.98,41.7,11488140
2026-07-17,40.48,42.59,39.53,41.11,9200961
2026-07-20,41.25,42.81,40.75,41.51,6688228
2026-07-21,42.4,44.19,42.265,44.13,9729730
2026-07-22,45.2,47.51,44.081,44.5,10547470
2026-07-23,43.08,44.59,42.24,44,8369818
2026-07-24,43.59,43.61,40.15,40.25,10207340
2026-07-27,40.8,42.635,40.1,41.81,7973402
2026-07-28,40.39,40.6537,37.8,39.58,8701117
2026-07-29,38.99,39.45,36.6102,36.84,8546049
2026-07-30,38.15,41.57,37.6,41.09,10050480
2026-07-31,42.04,42.48,38.83,38.83,8814178
2026-08-03,38.8,42.05,38.01,41.22,8476740
2026-08-04,42.11,44.24,41.7,43.33,8748129
2026-08-05,43.03,44.16,42.42,42.99,5182834
2026-08-06,43.34,44.03,41.6002,42.19,10883500
2026-08-07,44.29,49.48,43.85,48.42,22102720
2026-08-10,47.23,47.45,44.13,44.49,14239370
2026-08-11,45,47.41,44.27,47.01,10907600
2026-08-12,47.92,48.19,44.51,45.13,8916254
2026-08-13,44.92,47.72,44.38,46.45,9169084
2026-08-14,46.51,47.26,44.315,44.38,8008228
2026-08-17,44.1,44.658,43.5,43.88,6159437
2026-08-18,42.07,42.99,41.17,41.36,7743764
2026-08-19,41.15,43.02,40.3,42.94,7707778
2026-08-20,42.3,42.83,40.77,41.66,6367798
2026-08-21,42.04,43.68,41.39,42.09,6545244
2026-08-24,41.135,41.3,39.42,39.69,7617028
2026-08-25,40.76,44.85,40.06,44.27,14125190
2026-08-26,44.99,46.2,41.08,41.6,18430450
2026-08-27,42,43.89,41.1,42.53,9621427
